label,display,sample_bucket,source,run,setting,candidate_id,candidate_uid,mask_path,he_crop_rel,ficture_crop_rel
lung_bronchiola,bronchiola,GOOD,ficture,ficture_official_11938226,base_official_points_step32,303,ficture__ficture_official_11938226__base_official_points_step32__303,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_masks/candidate_303.png,candidate_pair_crops/ficture__ficture_official_11938226__base_official_points_step32__303_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938226__base_official_points_step32__303_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,GOOD,ficture,ficture_official_11938229,base_point64_m1024_p700,29,ficture__ficture_official_11938229__base_point64_m1024_p700__029,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/base_point64_m1024_p700/candidate_masks/candidate_029.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point64_m1024_p700__029_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point64_m1024_p700__029_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,GOOD,ficture,ficture_official_11940972,base_point96_m1536_p500,23,ficture__ficture_official_11940972__base_point96_m1536_p500__023,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11940972/base_point96_m1536_p500/candidate_masks/candidate_023.png,candidate_pair_crops/ficture__ficture_official_11940972__base_point96_m1536_p500__023_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11940972__base_point96_m1536_p500__023_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,GOOD,ficture,ficture_official_11938229,base_point96_m1536_p500,22,ficture__ficture_official_11938229__base_point96_m1536_p500__022,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/base_point96_m1536_p500/candidate_masks/candidate_022.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point96_m1536_p500__022_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point96_m1536_p500__022_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,GOOD,ficture,ficture_official_11938229,base_point64_m1536_p900,49,ficture__ficture_official_11938229__base_point64_m1536_p900__049,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/base_point64_m1536_p900/candidate_masks/candidate_049.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point64_m1536_p900__049_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__base_point64_m1536_p900__049_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,MID,he,he_official_12445451,medical_box256_s96_m2048,158,he__he_official_12445451__medical_box256_s96_m2048__158,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/medical_box256_s96_m2048/candidate_masks/candidate_158.png,candidate_pair_crops/he__he_official_12445451__medical_box256_s96_m2048__158_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__medical_box256_s96_m2048__158_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,MID,ficture,ficture_official_11938229,medical_point48_m1024_p900,88,ficture__ficture_official_11938229__medical_point48_m1024_p900__088,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938229/medical_point48_m1024_p900/candidate_masks/candidate_088.png,candidate_pair_crops/ficture__ficture_official_11938229__medical_point48_m1024_p900__088_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938229__medical_point48_m1024_p900__088_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,MID,ficture,ficture_official_11940971,base_box192_s64_m1536,238,ficture__ficture_official_11940971__base_box192_s64_m1536__238,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11940971/base_box192_s64_m1536/candidate_masks/candidate_238.png,candidate_pair_crops/ficture__ficture_official_11940971__base_box192_s64_m1536__238_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11940971__base_box192_s64_m1536__238_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,MID,ficture,ficture_official_11938226,base_box192_s64_m1536,236,ficture__ficture_official_11938226__base_box192_s64_m1536__236,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_box192_s64_m1536/candidate_masks/candidate_236.png,candidate_pair_crops/ficture__ficture_official_11938226__base_box192_s64_m1536__236_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938226__base_box192_s64_m1536__236_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,MID,ficture,ficture_official_11938227,base_box256_s96_m2048,212,ficture__ficture_official_11938227__base_box256_s96_m2048__212,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box256_s96_m2048/candidate_masks/candidate_212.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box256_s96_m2048__212_he_reverse_blur_gray.png,candidate_pair_crops/ficture__ficture_official_11938227__base_box256_s96_m2048__212_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,BAD,he,he_official_12445451,base_box128_s48_m1536,61,he__he_official_12445451__base_box128_s48_m1536__061,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box128_s48_m1536/candidate_masks/candidate_061.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__061_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box128_s48_m1536__061_ficture_reverse_blur_gray.png
lung_bronchiola,bronchiola,BAD,he,he_official_12445451,base_box160_s64_m1536,40,he__he_official_12445451__base_box160_s64_m1536__040,/home/hw646/codex_he_official_roi_candidate_pool_b200/he_official_12445451/base_box160_s64_m1536/candidate_masks/candidate_040.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__040_he_reverse_blur_gray.png,candidate_pair_crops/he__he_official_12445451__base_box160_s64_m1536__040_ficture_reverse_blur_gray.png
