label,pixels,rule,run,factor,rank,score,dice_prior,precision_prior,recall_prior,mask_path,top_genes_specific
lung_bronchiola,7177,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456111,7,6,0.9887,0.7279,0.7199,0.7361,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456111/masks/069_factor_07_rank_06_sam3_refined.png,"SCGB1A1, SCGB3A1, BPIFB1, MSMB, SLPI, MUC5B"
lung_bronchiola,7177,marker-gene candidate selection across completed FICTURE-to-SAM runs,quality12_medical_l12_csv_m0.03_r96_hi4096_11425091,7,3,0.7893,0.5502,0.6075,0.5027,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/quality12_medical_l12_csv_m0.03_r96_hi4096_11425091/masks/011_factor_07_rank_03_sam3_refined.png,"SCGB1A1, SCGB3A1, BPIFB1, MSMB, SLPI, MUC5B"
lung_bronchiola,7177,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456109,7,5,0.7574,0.5159,0.4237,0.6593,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456109/masks/039_factor_07_rank_05_sam3_refined.png,"SCGB1A1, SCGB3A1, BPIFB1, MSMB, SLPI, MUC5B"
erythorocytes,3575,H&E unsupervised eosin/RBC color threshold clipped to tissue,,,,,,,,,
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456111,6,7,1.0591,0.7708,0.7432,0.8006,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456111/masks/044_factor_06_rank_07_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,smooth_medical_l40_csv_m0.03_r64_hi4096_11425094,6,3,1.0289,0.7564,0.9657,0.6216,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/smooth_medical_l40_csv_m0.03_r64_hi4096_11425094/masks/031_factor_06_rank_03_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456111,6,10,0.9297,0.6702,0.6602,0.6804,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456111/masks/051_factor_06_rank_10_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_base_l160_csv_m0.010_r16_hi4096_11456107,6,8,0.9018,0.6316,0.5171,0.8112,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_base_l160_csv_m0.010_r16_hi4096_11456107/masks/047_factor_06_rank_08_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456108,6,9,0.8435,0.5820,0.4618,0.7865,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456108/masks/050_factor_06_rank_09_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
immune_infiltration,11049,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456111,6,5,0.7971,0.5426,0.4286,0.7395,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456111/masks/041_factor_06_rank_05_sam3_refined.png,"SPP1, FTL, APOE, CTSB, CHIT1, LYZ"
lung_alveoli_normal_adjacent,46047,marker-gene candidate selection across completed FICTURE-to-SAM runs,quality12_medical_l12_csv_m0.01_r48_hi4096_11425092,3,2,1.0110,0.6973,0.5752,0.8852,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/quality12_medical_l12_csv_m0.01_r48_hi4096_11425092/masks/007_factor_03_rank_02_sam3_refined.png,"SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74"
lung_alveoli_normal_adjacent,46047,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_medical_l160_csv_m0.010_r16_hi4096_11456111,3,3,1.0143,0.7301,0.7009,0.7619,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_medical_l160_csv_m0.010_r16_hi4096_11456111/masks/026_factor_03_rank_03_sam3_refined.png,"SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74"
lung_alveoli_normal_adjacent,46047,marker-gene candidate selection across completed FICTURE-to-SAM runs,ficture_base_top20_d48_area_11406184,3,1,1.0508,0.7220,0.6193,0.8655,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/ficture_base_top20_d48_area_11406184/masks/004_factor_03_rank_01_sam3_refined.png,"SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74"
lung_alveoli_normal_adjacent,46047,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_base_l160_csv_m0.010_r16_hi4096_11456107,3,4,0.8198,0.5589,0.4164,0.8499,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_base_l160_csv_m0.010_r16_hi4096_11456107/masks/061_factor_03_rank_04_sam3_refined.png,"SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74"
lung_alveoli_normal_adjacent,46047,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_base_l160_csv_m0.010_r16_hi4096_11456112,3,8,0.7796,0.5143,0.3503,0.9667,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_base_l160_csv_m0.010_r16_hi4096_11456112/masks/075_factor_03_rank_08_sam3_refined.png,"SFTPB, LPCAT1, SFTPC, NPC2, NUPR1, CD74"
lung_vessels,8247,marker-gene candidate selection across completed FICTURE-to-SAM runs,quality12_medical_l12_csv_m0.01_r48_hi4096_11425092,1,2,1.0718,0.7738,0.7572,0.7911,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/quality12_medical_l12_csv_m0.01_r48_hi4096_11425092/masks/001_factor_01_rank_02_sam3_refined.png,"MYL9, TAGLN, MYH11, ACTA2, RHOB, DES"
lung_vessels,8247,marker-gene candidate selection across completed FICTURE-to-SAM runs,smooth_medical_l60_csv_m0.02_r48_hi4096_11425100,1,8,0.8470,0.5869,0.5021,0.7060,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/smooth_medical_l60_csv_m0.02_r48_hi4096_11425100/masks/025_factor_01_rank_08_sam3_refined.png,"MYL9, TAGLN, MYH11, ACTA2, RHOB, DES"
pigment,2156,H&E unsupervised dark-pixel threshold clipped to tissue,,,,,,,,,
stroma,488749,marker-gene candidate selection across completed FICTURE-to-SAM runs,he_ficturecoord_smooth_top40_11238640,1,1,0.8261,0.5365,0.4338,0.7030,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/he_ficturecoord_smooth_top40_11238640/masks/000_factor_01_rank_01_sam3_refined.png,"MYL9, TAGLN, MYH11, ACTA2, RHOB, DES"
stroma,488749,marker-gene candidate selection across completed FICTURE-to-SAM runs,quality12_medical_l12_csv_m0.02_r64_hi4096_11426559,1,2,1.0745,0.7745,0.7409,0.8113,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/quality12_medical_l12_csv_m0.02_r64_hi4096_11426559/masks/001_factor_01_rank_02_sam3_refined.png,"MYL9, TAGLN, MYH11, ACTA2, RHOB, DES"
tumor,196563,marker-gene candidate selection across completed FICTURE-to-SAM runs,quality12_medical_l12_csv_m0.01_r48_hi4096_11425092,0,1,0.9767,0.6760,0.6828,0.6694,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/quality12_medical_l12_csv_m0.01_r48_hi4096_11425092/masks/003_factor_00_rank_01_sam3_refined.png,"SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2"
tumor,196563,marker-gene candidate selection across completed FICTURE-to-SAM runs,ficture_base_top20_d48_area_11406184,0,3,0.9628,0.6512,0.5410,0.8180,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/ficture_base_top20_d48_area_11406184/masks/006_factor_00_rank_03_sam3_refined.png,"SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2"
tumor,196563,marker-gene candidate selection across completed FICTURE-to-SAM runs,smooth_medical_l40_csv_m0.03_r64_hi4096_11425094,0,4,0.8766,0.5949,0.4611,0.8381,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/smooth_medical_l40_csv_m0.03_r64_hi4096_11425094/masks/038_factor_00_rank_04_sam3_refined.png,"SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2"
tumor,196563,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_base_l160_csv_m0.010_r16_hi4096_11456112,0,5,0.8950,0.6114,0.4552,0.9311,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_base_l160_csv_m0.010_r16_hi4096_11456112/masks/052_factor_00_rank_05_sam3_refined.png,"SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2"
tumor,196563,marker-gene candidate selection across completed FICTURE-to-SAM runs,raw_base_l160_csv_m0.010_r16_hi4096_11456112,0,2,0.6782,0.4368,0.4756,0.4038,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/sam3_reference_candidate_refine/raw_base_l160_csv_m0.010_r16_hi4096_11456112/masks/002_factor_00_rank_02_sam3_refined.png,"SPINK1, IFI6, CEACAM5, ECM1, NAPSA, WFDC2"
